n_samples,n_hidden,activation,training_time,val_loss,val_accuracy,val_precision,val_recall,test_loss,test_accuracy,test_precision,test_recall,val_f1,test_f1
30000,64,softmax,8.317744016647339,0.050223589887221656,0.9816388893127441,0.8690046415454099,0.901551631864592,0.053177995747662646,0.9808803725017111,0.8554687499522617,0.9012345678482518,0.8849789915733987,0.8777555109717861
30000,32,softmax,14.011620044708252,0.05083435793717702,0.9816388948758443,0.8397512556603743,0.939272338123615,0.05413649671631749,0.981035656473226,0.8320251176958647,0.9347442680226488,0.8867281222152613,0.8803986710475968
30000,64,sigmoid,16.808552026748657,0.05190382480621338,0.9811388961474101,0.840458562196311,0.9414125200390205,0.0547150110126003,0.9800563732577997,0.8211340205762302,0.9365079364528801,0.8880757097567678,0.8750343311796192
15000,64,softmax,6.233713150024414,0.05225259562333425,0.9807333358128866,0.8482412059875255,0.9198910081242566,0.05524936962982719,0.9803668475827572,0.8380545162566513,0.9218106995342851,0.8826143790388175,0.8779395296260952
30000,32,sigmoid,14.55221700668335,0.05256310616930326,0.9810499827067057,0.8638352638130288,0.8978063135126323,0.055412019638456225,0.9800205103781818,0.8549661399066045,0.8906525572668634,0.8804932441065068,0.8724445723655373
15000,32,softmax,5.962106943130493,0.05329237322012583,0.9803111227353414,0.8500501504087237,0.9237057220205065,0.05585907778162675,0.980235484327003,0.8351940456759599,0.9235743679645164,0.8853486549550614,0.8771635957075843
15000,64,sigmoid,11.267441034317017,0.054240452349185946,0.9797555534044902,0.8312379109849499,0.9367847410933632,0.05690279786119184,0.9799250071661696,0.8234683280984699,0.9323927101156735,0.8808608762039016,0.8745519712779403
7500,64,softmax,3.5308549404144287,0.05408001720905304,0.9810000022252401,0.8634146340621058,0.9190031151693663,0.05787964057584108,0.9790293300995754,0.8325281803095798,0.9118165784296404,0.8903420522243117,0.870370370321528
7500,32,softmax,3.365817070007324,0.053986027042071026,0.9811333322525024,0.8578244273990625,0.9335410175562263,0.0583701972532286,0.9793398286319798,0.8271150814068778,0.9253380363947479,0.8940825459080971,0.8734739178205618
15000,32,sigmoid,10.55343508720398,0.05557208692034086,0.979599994023641,0.8388045075532188,0.9329700271971133,0.059068024268453395,0.9788023862773144,0.8234984193454427,0.918871252150566,0.8833849328749543,0.8685746040084148
7500,64,sigmoid,7.961169004440308,0.055889478474855425,0.9804888661702474,0.890829694225892,0.8473520248341275,0.05979486145495548,0.9788621368671974,0.8700361010306837,0.8500881833715409,0.8685470994285741,0.8599464763092508
3750,64,softmax,2.723649024963379,0.05532755080793204,0.9791666247697273,0.8434237994063833,0.8595744679022183,0.06100377429134697,0.9781456209588919,0.8421645997270482,0.8783068782552436,0.8514225498732514,0.8598561150584254
7500,32,sigmoid,7.996793985366821,0.056863205631573994,0.9797999620437622,0.8553398057421999,0.9148494287731206,0.06148652239617491,0.9783844467766069,0.8298777245704477,0.9176954731970784,0.8840943300668244,0.8715801227877398
3750,32,softmax,2.1625630855560303,0.0562770493122052,0.9791666609900338,0.8463157892955125,0.8553191487541875,0.062286664132540255,0.977429078161016,0.8440890918992524,0.8689006466273427,0.8507936506135887,0.8563151795564127
1875,64,softmax,2.513056993484497,0.05214684619419356,0.9827647262544774,0.8758865245120969,0.9391634977417629,0.06350062733505954,0.9777753478170774,0.8131130613932311,0.9259259258714917,0.9064220180159918,0.8658603627891226
3750,64,sigmoid,5.617349147796631,0.05837149930788256,0.9792999077453288,0.8141762450547556,0.9042553189565414,0.0637435145071804,0.9775962555056555,0.8213724462639407,0.9218106995342851,0.8568548385369245,0.868698060893701
1875,32,softmax,1.7661449909210205,0.05573299178468393,0.9801883729281964,0.870967741623309,0.9239543722722606,0.06564105920948453,0.9765811230603998,0.8214858364071894,0.9035861257552271,0.8966789664587901,0.8605823067827221
3750,32,sigmoid,6.009226083755493,0.06030231776204445,0.9785003316427853,0.8136882127730631,0.9106382976785875,0.06570384973021079,0.9767961437840897,0.8141455859156352,0.9271017048249793,0.8594377508314381,0.866959868011712
1875,64,sigmoid,5.172791957855225,0.05575082010265861,0.9808101619738759,0.8727272724099173,0.912547528170134,0.06617077658693371,0.976700570751446,0.8212742980118102,0.8941798941273262,0.8921933082185154,0.8561778778015098
1000,64,softmax,1.7307040691375732,0.06903914213180543,0.9760000228881835,0.8449612396550689,0.8582677158596318,0.06809764073968924,0.9760079337553569,0.809396689759242,0.8912404467436073,0.8515624993347168,0.848349188536746
1000,32,softmax,2.2524330615997314,0.06846817135810852,0.9751667737960815,0.849206348532376,0.8425196843759688,0.0687387508037747,0.9756138418697292,0.8030303029883474,0.9035861257552271,0.8458498017028856,0.850345781419068
1875,32,sigmoid,3.955641031265259,0.05870195248646777,0.9796552743230548,0.8621908124161869,0.9277566536396362,0.06909732628847542,0.9746942812270987,0.808717948676476,0.9271017048249793,0.8937728934455044,0.8638729114837648
1000,64,sigmoid,3.6590068340301514,0.07050042897462845,0.9763332962989807,0.849206348532376,0.8425196843759688,0.0703144429935429,0.9755063662559059,0.8160607704386293,0.8841857730226815,0.8458498017028856,0.8487584649633882
1000,32,sigmoid,3.621234893798828,0.07359148412942887,0.9739999532699585,0.8294573636980951,0.8425196843759688,0.073831317225067,0.9742643514209779,0.8166392993532217,0.8771310993017559,0.8359374993469239,0.8458049886141833
